X,Y,OBJECTID,Trail_ID,Trail_Name,Park_Name_Short,Park_Name,Park_Name_Full,Blaze_Color_Full,Blaze_Color_Short,Base_Color,Cap_Color,Dot_Color,Dash_Color,Image_Link,Mileage,Difficulty,Configuration,Surface,Service_Road,GlobalID,Trail_Status,SHAPE_Length
-79.6942392016963,40.6506904489232,"24287",HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.35868304",Easy,Complete Loop,Asphalt,"0",{210687E5-6B2D-4AFF-9053-20F34E2888CB},Active,"0.00582161827816358"
-79.6943525701283,40.6507510301703,"24287",HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.35868304",Easy,Complete Loop,Asphalt,"0",{210687E5-6B2D-4AFF-9053-20F34E2888CB},Active,"0.00582161827816358"
-79.6945491823633,40.6508301919416,"24287",HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.35868304",Easy,Complete Loop,Asphalt,"0",{210687E5-6B2D-4AFF-9053-20F34E2888CB},Active,"0.00582161827816358"
-79.6945160784342,40.6510168036084,"24287",HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.35868304",Easy,Complete Loop,Asphalt,"0",{210687E5-6B2D-4AFF-9053-20F34E2888CB},Active,"0.00582161827816358"
-79.6948403794571,40.6510872973889,"24287",HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.35868304",Easy,Complete Loop,Asphalt,"0",{210687E5-6B2D-4AFF-9053-20F34E2888CB},Active,"0.00582161827816358"
-79.6947320977812,40.6510401515782,"24287",HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.35868304",Easy,Complete Loop,Asphalt,"0",{210687E5-6B2D-4AFF-9053-20F34E2888CB},Active,"0.00582161827816358"
-79.6948610922285,40.651635588022,"24287",HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.35868304",Easy,Complete Loop,Asphalt,"0",{210687E5-6B2D-4AFF-9053-20F34E2888CB},Active,"0.00582161827816358"
-79.6942033213644,40.6522290702515,"24287",HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.35868304",Easy,Complete Loop,Asphalt,"0",{210687E5-6B2D-4AFF-9053-20F34E2888CB},Active,"0.00582161827816358"
-79.6959197143728,40.6470523444946,"24288",HH4772,,HH,Harrison Hills,Harrison Hills,,,,,,,,"0.05621226",Easy,<Null>,,,{90D66DDF-19CE-4CD9-93F8-F6FA076AF71B},Active,"0.000849016539484549"
-79.7026703794999,40.6597150730001,"24289",HH4773,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.38693403",Easy,Service Road,Asphalt,"1",{A11A15B0-EFB3-4D78-8345-6D2E0D222D34},Active,"0.00593583833615448"
